lon,lat,depth_m,adcirc_id,stwave_id,match_dist_m,have
-74.311667,40.508333,2.112564,7425,,,adcirc_only
-74.3093,40.5085,9.084866,11610,,,adcirc_only
-74.207968,40.509147,3.999605,3876,309,0.4,both
-74.0393,40.5093,6.444549,11692,,,adcirc_only
-74.20824,40.50941,3.362266,11721,1431,0.0,both
-73.9995,40.5102,4.076917,11695,1405,0.0,both
-74.30028,40.510227,9.080985,3877,,,adcirc_only
-74.191175,40.510647,4.000431,3878,311,0.5,both
-74.0252,40.5107,7.366577,11693,,,adcirc_only
-74.0106,40.5107,5.689053,11694,,,adcirc_only
-74.2996,40.5108,8.89034,11609,,,adcirc_only
-74.20092,40.51164,0.710399,11722,1432,0.0,both
-74.2,40.5117,0.285455,3501,16,0.0,both
-73.907215,40.511932,9.309387,3879,312,0.5,both
-74.2555,40.5127,9.073747,11650,1360,0.0,both
-73.970409,40.514206,9.067613,3880,313,0.5,both
-74.148185,40.514918,4.000407,3882,315,0.5,both
-74.1883,40.5151,1.72252,11723,1433,0.0,both
-74.255987,40.515527,7.331986,3883,,,adcirc_only
-74.250147,40.516054,3.998689,3884,,,adcirc_only
-74.176746,40.517615,4.000357,3885,318,0.7,both
-74.17425,40.51902,3.34745,11724,1434,0.0,both
-74.118161,40.519039,4.000051,3886,319,0.1,both
-74.15984,40.519087,3.999955,3887,320,0.3,both
-74.033,40.5195,8.457058,11774,,,adcirc_only
-74.24402,40.52003,1.771992,11715,1425,0.0,both
-74.126346,40.520162,3.999824,3888,321,0.4,both
-74.13791,40.520646,3.999987,3889,322,0.4,both
-74.1635,40.5214,2.869675,11725,1435,0.0,both
-74.2479,40.5225,9.072549,11651,,,adcirc_only
-73.984455,40.522693,6.348028,3890,,,adcirc_only
-74.049508,40.522951,9.907767,3891,,,adcirc_only
-74.14509,40.52336,3.137174,13810,2509,0.0,both
-73.912585,40.523758,9.911792,3892,325,0.5,both
-74.1262,40.5248,2.492103,11728,1438,0.0,both
-74.15458,40.52746,1.324145,11739,1449,0.0,both
-74.24485,40.527787,3.998841,3894,,,adcirc_only
-74.251719,40.528641,7.206181,3895,,,adcirc_only
-74.13827,40.52882,2.931309,11727,1437,0.0,both
-74.10994,40.529984,3.999951,3896,329,0.4,both
-73.903445,40.530673,9.327943,3897,330,0.5,both
-73.998545,40.531193,5.211963,3900,333,0.5,both
-74.24472,40.53357,1.77217,13760,,,adcirc_only
-74.2502,40.5338,9.072948,11652,,,adcirc_only
-74.087213,40.535055,10.212489,3902,335,0.6,both
-74.1262,40.536,1.216751,11738,1448,0.0,both
-74.13864,40.53614,5.223138,13809,2508,0.0,both
-74.11005,40.538,2.979829,11729,1439,0.0,both
-74.2587,40.5382,-1.18,11667,,,adcirc_only
-73.902164,40.538364,10.09149,3903,336,0.6,both
-74.249464,40.539969,4.000769,3904,,,adcirc_only
-74.101758,40.541451,4.00011,3907,340,0.2,both
-74.13554,40.54147,1.303027,11726,1436,0.0,both
-74.253393,40.542188,6.140666,3909,,,adcirc_only
-73.94047,40.5424,1.083443,14189,2803,0.0,both
-73.9342,40.54302,2.968087,14190,2804,0.0,both
-74.14,40.5433,-0.469654,3511,26,0.0,both
-73.94132,40.54419,3.601277,12058,1764,0.0,both
-74.264481,40.544539,-1.18,3492,,,adcirc_only
-74.265,40.545,-1.756268,7422,,,adcirc_only
-73.926527,40.545202,3.135281,3913,346,0.3,both
-74.248726,40.546833,3.998133,3914,,,adcirc_only
-73.92664,40.54694,1.414374,12059,1765,0.0,both
-73.92305,40.54709,2.510674,3584,89,0.0,both
-74.114183,40.547467,0.583537,3520,33,0.4,both
-74.251,40.5477,9.072978,11653,,,adcirc_only
-74.26891,40.5478,-1.180479,11668,,,adcirc_only
-73.91754,40.54841,2.86436,14191,2805,0.0,both
